name,amount
Calyces/8000,8000
calyces,10000
Tea bag -Hibiscus/2300,2300
Tea bag -Hibiscus/2500,2500
Jus d'hibiscus,600
Sel Diet/liquide,2000
Sel Diet/liquide,2500
Sel Diet/poudre/2500,2500
Sel Diet/poudre/3000,3000
Sel Diet/poudre/Gato,1300
Finoli,1500
Lait ecreme,7500
Instant.de soja,9500
Low fat inyange,600
Ubunyobwa,2300
Soya y'amata,1500
Ibigori,1000
Soya ikaranze,1300
ifu y'amashaza,1500
Uburo,1500
Inzuzi,8000
Pate jaune,1500
Amasaka,1200
Amarante avanze,2500
Amarante atavanze,2500
Ingano,1200
Semoule,1500
Brown Sugar/3000,3000
Brown Sugar/3500,3500
Polichi bio,2500
Polichi/500gr,3000
Polichi/1000gr,6500
Sesame oil,3500
Colza,7000
FURTURE,7000
Soja oil/5L,10000
Soja oil/1L,2000
Huile d.arachide,4000
Olive oil/ 15500,15500
Olive oil/12500,12500
Olive oil positive/11000,11000
Olive oil Positive/6500,6500
Olive consul 1L/8000,8000
Olive  1L/14000,14000
Olive oil/ 5500,5500
olive oil/3000,3000
Macadamia Oil,6000
Beurre de Qualite,12000
Coconut Oil/kwisiga,6000
Coconut Oil/Guteka,6000
Vinaigre,3000
Gensing,2500
Sezame idaseye,1500
Sezame iseye,2000
Ibumba ry'icyatsi,2000
Ibumba ry'umweru,2000
Molinga y'ibibabi,1500
Soja tea 100gr,1000
Soja tea 200gr,1500
Amakara manini,2000
Amakara mato,1000
cinamoni,3000
Igisura/poudre,1500
Igisura/feuille,2000
Basmati/2500,2500
Brown Rice,2000
camomile 3700,250
Camomille 4000,4000
Fenouil,4000
Nil ntoya,300
Nil nini,700
amazi mato inyange,300
Couscous,4000
Vervaine,2000
Digestive/2000,2000
Digestive/2500,2500
Imvange/1500,1500
Raisin/4000,4000
Raisin/2000,2000
ibihwagari,5000
Vergerette,3000
Noix de cajoux,1500
Isambaza,1700
Ubuki/6000,6000
Cyayi cyayi,2000
Rice-semoule,2800
Ibishyimbo/Kinyobwa,900
Ibishyimbo/Colta,1000
Ubugali,1000
Igikapu 500,500
Igikapu 600,600
Brown rice Flour,2000
Slimming Green Tea,3000
Organic Green Tea,3000
Green Tea ordinaire,1500
inzuzi zidaseye,1500
Agatambaro,500
CURRY P.,1500
Thym,1500
Assiette idongo,4000
Assiette milimani,1200
confiture/ananas,2000
confiture/arachide 250 gr,2000
confiture/arachide 500 gr,4000
Confiture/sezame,2500
Noix ce Madacadamia Grille,2000
Brown y'umugati,1200
Catheline,2000
Sunflower oil 5l,10000
Sunflower oil 1l,2800
Spririna,4500
Chia 500 gr,4000
Chia 150 gr,2500
Semoule. 2000,2000
Ubunyobwa bukaranze,600
Olive Jambo,5500
Basmati/2700,2700
ubuki 500 gr,3000
ifu y'índagara,3000
Olive Froid,13000
Coconut kwisiga Nini,8500
Spaghetti,4000
Vervaine et Mente,3000
Soja milk liquide,3500
Polichi carton,6000
Vinaigre nto,1500
Macadamia butter,2500
Slimming Green Tea/2000,2000
Mint,3500
Sage,1500
